Name,Audio Link
ريم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754444830-7ed424a4-131b-4137-a436-2de7ef86b958.mp3
أية,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754445678-d9900df6-ec09-44a9-89d3-58a03f85348e.mp3
زين,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754446096-38827ce8-50c7-48ec-914f-8c110246a3bd.mp3
بادي,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754446389-fb45f990-b73e-469d-9547-29c5e307f9ca.mp3
حازم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754446698-82adf352-57d1-4b20-a53b-443024396f24.mp3
عمر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754446992-02758f6f-bd07-4866-a8b2-93eb59a2693f.mp3
بوجمعة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754448538-d3f81a08-8858-4fc1-9af0-5a3eb7a544dd.mp3
رقية,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754449629-c1602ef2-e06d-439c-9040-c5a8d7b89b9e.mp3
حنين,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754450120-3305cc7b-a7bf-4502-9a25-81d88ef6f28a.mp3
عزيز,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754452360-4b9ddf7b-4942-4d62-b0b3-8651b45e0af1.mp3
ركان,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754452984-0607667b-d813-4812-9f70-5aa48998ad8c.mp3
مروة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754453608-41b02597-8183-4e63-91db-4b3b60ec2ee7.wav
منير,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754453937-7fc8025f-51aa-4d8d-8099-7af737d55b5d.wav
حسان,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754454224-afee2b78-9574-4a13-9461-240a88b64e7c.wav
هاجر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751417501-2febae5e-da02-4ece-be02-e649378f059b.wav
أمجد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754496169-57122e8d-16c8-4308-b911-2a98670cc731.wav
هند,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751417392-23410a0d-6151-4b78-910a-24b70f6f768a.wav
جهان,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754496618-ec7e6a59-5fbe-437c-8502-e16ba1172de5.wav
إيمار,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751417148-c83ddcec-9cb8-49c9-900a-8c04e3f1a402.wav
خيرة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754496999-9a666b7f-66bd-4c5d-8c1a-bd3614e3971a.wav
